Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,167358,Northeastern University,1,Main Campus,19798,4,3,3
2015,167358,Northeastern University,1,Main Campus,19940,3,8,9
2016,167358,Northeastern University,1,Main Campus,20381,1,5,3
