Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,157085,University of Kentucky,1,University of KY,29203,5,3,1
2015,157085,University of Kentucky,1,University of KY,29727,1,3,3
2016,157085,University of Kentucky,1,University of KY,29781,4,8,11
