Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,157085,University of Kentucky,1,University of KY,29203,2,0,0
2015,157085,University of Kentucky,1,University of KY,29727,0,0,0
2016,157085,University of Kentucky,1,University of KY,29781,1,0,0
