Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,139658,Emory University,1,Main Campus,14769,1,4,0
2015,139658,Emory University,1,Main Campus,13788,0,2,3
2016,139658,Emory University,1,Main Campus,14067,0,0,3
