Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,145637,University of Illinois at Urbana-Champaign,1,Main Campus,45140,14,0,3
2015,145637,University of Illinois at Urbana-Champaign,1,Main Campus,45842,13,0,23
2015,145637,University of Illinois at Urbana-Champaign,3,Illini Center,45842,0,0,0
2016,145637,University of Illinois at Urbana-Champaign,1,Main Campus,46951,16,0,44
2016,145637,University of Illinois at Urbana-Champaign,3,Illini Center,46951,0,0,0
