Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,15575,0,0,0,,,0,,,0,2,10,4,0
2002,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,16481,0,0,0,,,0,,,3,1,13,9,0
2003,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,16643,0,0,1,,,0,,,1,1,3,5,0
