Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,212106,Duquesne University,1,Main Campus,9648,0,0,0
2015,212106,Duquesne University,1,Main Campus,9404,0,0,0
2016,212106,Duquesne University,1,Main Campus,9343,0,0,0
