Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,212106,Duquesne University,1,Main Campus,9648,1,6,2
2015,212106,Duquesne University,1,Main Campus,9404,1,2,1
2016,212106,Duquesne University,1,Main Campus,9343,3,5,3
