Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,225511,University of Houston,1,Central Campus,40914,0,0,0
2015,225511,University of Houston,1,Central Campus,42704,0,0,0
2016,225511,University of Houston,1,Central Campus,43774,1,0,0
