Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,126614,University of Colorado Boulder,1,Main Campus,32432,8,1,3
2015,126614,University of Colorado Boulder,1,Main Campus,33056,18,4,15
2016,126614,University of Colorado Boulder,1,Main Campus,33977,23,2,9
