Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2015,191241,Fordham University,5,Forham in Granada,15286,0,0,,0,0,,0,0,0,0,0,0,0
2015,191241,Fordham University,6,Fordham in Pretoria,15286,0,0,,0,0,,0,0,0,0,0,0,0
2015,191241,Fordham University,7,Louis Calder Center,15286,0,0,,0,0,,0,0,0,0,0,0,0
2016,191241,Fordham University,1,Main Campus,15582,0,0,,0,1,,0,0,12,2,0,3,0
2016,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,15582,0,0,,0,0,,0,0,1,0,0,0,0
2016,191241,Fordham University,3,Fordham University - Westchester Campus,15582,0,0,,0,0,,0,0,0,0,0,0,0
2016,191241,Fordham University,4,Fordham in London,15582,0,0,,0,0,,0,0,0,0,0,0,0
2016,191241,Fordham University,5,Forham in Granada,15582,0,0,,0,0,,0,0,0,0,0,0,0
2016,191241,Fordham University,6,Fordham in Pretoria,15582,0,0,,0,0,,0,0,0,0,0,0,0
2016,191241,Fordham University,7,Louis Calder Center,15582,0,0,,0,0,,0,0,0,0,0,0,0
