Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,123961,University of Southern California,1,University Park Campus,42453,2,0,1
2015,123961,University of Southern California,1,University Park Campus,43401,4,0,2
2016,123961,University of Southern California,1,University Park Campus,43871,0,0,2
