Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,123961,University of Southern California,1,University Park Campus,42453,3,0,0
2015,123961,University of Southern California,1,University Park Campus,43401,0,1,0
2016,123961,University of Southern California,1,University Park Campus,43871,2,0,0
