,Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking,Location,There are no data to download.
4,2016.0,190150.0,Columbia University in the City of New York,1.0,Morningside Campus,29372.0,6.0,9.0,18.0,On_campus,
5,2016.0,190150.0,Columbia University in the City of New York,2.0,Columbia University Medical Center,29372.0,3.0,2.0,6.0,On_campus,
0,2014.0,190150.0,Columbia University in the City of New York,1.0,Morningside Campus,27589.0,0.0,0.0,5.0,On_campus_Student_Housing_Facilities,
1,2014.0,190150.0,Columbia University in the City of New York,2.0,Columbia University Medical Center,27589.0,0.0,0.0,0.0,On_campus_Student_Housing_Facilities,
2,2015.0,190150.0,Columbia University in the City of New York,1.0,Morningside Campus,28086.0,0.0,2.0,5.0,On_campus_Student_Housing_Facilities,
3,2015.0,190150.0,Columbia University in the City of New York,2.0,Columbia University Medical Center,28086.0,1.0,0.0,0.0,On_campus_Student_Housing_Facilities,
4,2016.0,190150.0,Columbia University in the City of New York,1.0,Morningside Campus,29372.0,0.0,7.0,11.0,On_campus_Student_Housing_Facilities,
5,2016.0,190150.0,Columbia University in the City of New York,2.0,Columbia University Medical Center,29372.0,0.0,0.0,0.0,On_campus_Student_Housing_Facilities,
0,2014.0,190150.0,Columbia University in the City of New York,1.0,Morningside Campus,27589.0,0.0,2.0,1.0,Public_Property,
1,2014.0,190150.0,Columbia University in the City of New York,2.0,Columbia University Medical Center,27589.0,0.0,0.0,0.0,Public_Property,
2,2015.0,190150.0,Columbia University in the City of New York,1.0,Morningside Campus,28086.0,0.0,0.0,0.0,Public_Property,
3,2015.0,190150.0,Columbia University in the City of New York,2.0,Columbia University Medical Center,28086.0,0.0,0.0,0.0,Public_Property,
4,2016.0,190150.0,Columbia University in the City of New York,1.0,Morningside Campus,29372.0,0.0,4.0,0.0,Public_Property,
5,2016.0,190150.0,Columbia University in the City of New York,2.0,Columbia University Medical Center,29372.0,0.0,0.0,0.0,Public_Property,
0,2014.0,208488.0,Concordia University-Portland,1.0,Main Campus,7435.0,0.0,0.0,0.0,Noncampus,
1,2015.0,208488.0,Concordia University-Portland,1.0,Main Campus,7182.0,0.0,0.0,0.0,Noncampus,
2,2016.0,208488.0,Concordia University-Portland,1.0,Main Campus,5455.0,0.0,0.0,0.0,Noncampus,
0,2014.0,208488.0,Concordia University-Portland,1.0,Main Campus,7435.0,0.0,0.0,0.0,On_campus,
1,2015.0,208488.0,Concordia University-Portland,1.0,Main Campus,7182.0,0.0,0.0,0.0,On_campus,
2,2016.0,208488.0,Concordia University-Portland,1.0,Main Campus,5455.0,0.0,0.0,0.0,On_campus,
0,2014.0,208488.0,Concordia University-Portland,1.0,Main Campus,7435.0,0.0,0.0,0.0,On_campus_Student_Housing_Facilities,
1,2015.0,208488.0,Concordia University-Portland,1.0,Main Campus,7182.0,0.0,0.0,0.0,On_campus_Student_Housing_Facilities,
2,2016.0,208488.0,Concordia University-Portland,1.0,Main Campus,5455.0,0.0,0.0,0.0,On_campus_Student_Housing_Facilities,
0,2014.0,208488.0,Concordia University-Portland,1.0,Main Campus,7435.0,0.0,0.0,0.0,Public_Property,
1,2015.0,208488.0,Concordia University-Portland,1.0,Main Campus,7182.0,0.0,0.0,0.0,Public_Property,
2,2016.0,208488.0,Concordia University-Portland,1.0,Main Campus,5455.0,0.0,0.0,0.0,Public_Property,
0,2014.0,190415.0,Cornell University,1.0,Endowed and Contract College Campuses,21679.0,2.0,4.0,2.0,Noncampus,
1,2014.0,190415.0,Cornell University,2.0,Cornell Tech Campus,21679.0,0.0,0.0,0.0,Noncampus,
2,2015.0,190415.0,Cornell University,1.0,Endowed and Contract College Campuses,21904.0,0.0,0.0,1.0,Noncampus,
3,2016.0,190415.0,Cornell University,1.0,Endowed and Contract College Campuses,22319.0,0.0,4.0,0.0,Noncampus,
0,2014.0,190415.0,Cornell University,1.0,Endowed and Contract College Campuses,21679.0,8.0,8.0,6.0,On_campus,
1,2014.0,190415.0,Cornell University,2.0,Cornell Tech Campus,21679.0,0.0,0.0,0.0,On_campus,
2,2015.0,190415.0,Cornell University,1.0,Endowed and Contract College Campuses,21904.0,3.0,1.0,7.0,On_campus,
3,2015.0,190415.0,Cornell University,2.0,Cornell Tech Campus,21904.0,0.0,0.0,0.0,On_campus,
4,2016.0,190415.0,Cornell University,1.0,Endowed and Contract College Campuses,22319.0,6.0,11.0,17.0,On_campus,
5,2016.0,190415.0,Cornell University,2.0,Cornell Tech Campus,22319.0,0.0,0.0,0.0,On_campus,
0,2014.0,190415.0,Cornell University,1.0,Endowed and Contract College Campuses,21679.0,4.0,5.0,2.0,On_campus_Student_Housing_Facilities,
1,2015.0,190415.0,Cornell University,1.0,Endowed and Contract College Campuses,21904.0,1.0,0.0,2.0,On_campus_Student_Housing_Facilities,
2,2016.0,190415.0,Cornell University,1.0,Endowed and Contract College Campuses,22319.0,4.0,3.0,4.0,On_campus_Student_Housing_Facilities,
0,2014.0,190415.0,Cornell University,1.0,Endowed and Contract College Campuses,21679.0,0.0,1.0,0.0,Public_Property,
1,2014.0,190415.0,Cornell University,2.0,Cornell Tech Campus,21679.0,0.0,0.0,0.0,Public_Property,
2,2015.0,190415.0,Cornell University,1.0,Endowed and Contract College Campuses,21904.0,0.0,0.0,1.0,Public_Property,
3,2015.0,190415.0,Cornell University,2.0,Cornell Tech Campus,21904.0,0.0,0.0,0.0,Public_Property,
4,2016.0,190415.0,Cornell University,1.0,Endowed and Contract College Campuses,22319.0,0.0,0.0,0.0,Public_Property,
5,2016.0,190415.0,Cornell University,2.0,Cornell Tech Campus,22319.0,0.0,0.0,0.0,Public_Property,
0,2014.0,212106.0,Duquesne University,1.0,Main Campus,9648.0,0.0,0.0,0.0,Noncampus,
1,2015.0,212106.0,Duquesne University,1.0,Main Campus,9404.0,0.0,0.0,0.0,Noncampus,
2,2016.0,212106.0,Duquesne University,1.0,Main Campus,9343.0,0.0,0.0,0.0,Noncampus,
0,2014.0,212106.0,Duquesne University,1.0,Main Campus,9648.0,1.0,6.0,2.0,On_campus,
1,2015.0,212106.0,Duquesne University,1.0,Main Campus,9404.0,1.0,2.0,1.0,On_campus,
2,2016.0,212106.0,Duquesne University,1.0,Main Campus,9343.0,3.0,5.0,3.0,On_campus,
0,2014.0,212106.0,Duquesne University,1.0,Main Campus,9648.0,1.0,5.0,1.0,On_campus_Student_Housing_Facilities,
1,2015.0,212106.0,Duquesne University,1.0,Main Campus,9404.0,1.0,1.0,1.0,On_campus_Student_Housing_Facilities,
2,2016.0,212106.0,Duquesne University,1.0,Main Campus,9343.0,3.0,3.0,1.0,On_campus_Student_Housing_Facilities,
0,2014.0,212106.0,Duquesne University,1.0,Main Campus,9648.0,1.0,0.0,0.0,Public_Property,
1,2015.0,212106.0,Duquesne University,1.0,Main Campus,9404.0,0.0,0.0,1.0,Public_Property,
2,2016.0,212106.0,Duquesne University,1.0,Main Campus,9343.0,0.0,0.0,0.0,Public_Property,
0,2014.0,139658.0,Emory University,1.0,Main Campus,14769.0,0.0,0.0,0.0,Noncampus,
1,2015.0,139658.0,Emory University,1.0,Main Campus,13788.0,0.0,0.0,0.0,Noncampus,
2,2016.0,139658.0,Emory University,1.0,Main Campus,14067.0,0.0,0.0,0.0,Noncampus,
0,2014.0,139658.0,Emory University,1.0,Main Campus,14769.0,4.0,9.0,11.0,On_campus,
1,2015.0,139658.0,Emory University,1.0,Main Campus,13788.0,1.0,3.0,17.0,On_campus,
2,2016.0,139658.0,Emory University,1.0,Main Campus,14067.0,4.0,2.0,17.0,On_campus,
0,2014.0,139658.0,Emory University,1.0,Main Campus,14769.0,1.0,4.0,0.0,On_campus_Student_Housing_Facilities,
1,2015.0,139658.0,Emory University,1.0,Main Campus,13788.0,0.0,2.0,3.0,On_campus_Student_Housing_Facilities,
2,2016.0,139658.0,Emory University,1.0,Main Campus,14067.0,0.0,0.0,3.0,On_campus_Student_Housing_Facilities,
0,2014.0,139658.0,Emory University,1.0,Main Campus,14769.0,0.0,0.0,0.0,Public_Property,
1,2015.0,139658.0,Emory University,1.0,Main Campus,13788.0,1.0,0.0,0.0,Public_Property,
2,2016.0,139658.0,Emory University,1.0,Main Campus,14067.0,0.0,0.0,0.0,Public_Property,
0,2014.0,191241.0,Fordham University,1.0,Main Campus,15231.0,0.0,0.0,0.0,Noncampus,
1,2014.0,191241.0,Fordham University,2.0,FORDHAM UNI-LINCOLN CENTER CAMPUS,15231.0,0.0,0.0,0.0,Noncampus,
2,2014.0,191241.0,Fordham University,4.0,Fordham in London,15231.0,0.0,0.0,0.0,Noncampus,
3,2014.0,191241.0,Fordham University,5.0,Forham in Granada,15231.0,0.0,0.0,0.0,Noncampus,
4,2014.0,191241.0,Fordham University,6.0,Fordham in Pretoria,15231.0,0.0,0.0,0.0,Noncampus,
5,2015.0,191241.0,Fordham University,1.0,Main Campus,15286.0,0.0,0.0,0.0,Noncampus,
6,2015.0,191241.0,Fordham University,2.0,FORDHAM UNI-LINCOLN CENTER CAMPUS,15286.0,0.0,0.0,0.0,Noncampus,
7,2015.0,191241.0,Fordham University,4.0,Fordham in London,15286.0,0.0,0.0,0.0,Noncampus,
8,2015.0,191241.0,Fordham University,5.0,Forham in Granada,15286.0,0.0,0.0,0.0,Noncampus,
9,2015.0,191241.0,Fordham University,6.0,Fordham in Pretoria,15286.0,0.0,0.0,0.0,Noncampus,
10,2016.0,191241.0,Fordham University,1.0,Main Campus,15582.0,0.0,0.0,0.0,Noncampus,
11,2016.0,191241.0,Fordham University,2.0,FORDHAM UNI-LINCOLN CENTER CAMPUS,15582.0,0.0,0.0,0.0,Noncampus,
12,2016.0,191241.0,Fordham University,4.0,Fordham in London,15582.0,0.0,0.0,0.0,Noncampus,
13,2016.0,191241.0,Fordham University,5.0,Forham in Granada,15582.0,0.0,0.0,0.0,Noncampus,
14,2016.0,191241.0,Fordham University,6.0,Fordham in Pretoria,15582.0,0.0,0.0,0.0,Noncampus,
0,2014.0,191241.0,Fordham University,1.0,Main Campus,15231.0,0.0,2.0,1.0,On_campus,
1,2014.0,191241.0,Fordham University,2.0,FORDHAM UNI-LINCOLN CENTER CAMPUS,15231.0,0.0,0.0,0.0,On_campus,
2,2014.0,191241.0,Fordham University,3.0,Fordham University - Westchester Campus,15231.0,0.0,0.0,0.0,On_campus,
3,2014.0,191241.0,Fordham University,4.0,Fordham in London,15231.0,0.0,0.0,0.0,On_campus,
4,2014.0,191241.0,Fordham University,5.0,Forham in Granada,15231.0,0.0,0.0,0.0,On_campus,
5,2014.0,191241.0,Fordham University,6.0,Fordham in Pretoria,15231.0,0.0,0.0,0.0,On_campus,
6,2014.0,191241.0,Fordham University,7.0,Louis Calder Center,15231.0,0.0,0.0,0.0,On_campus,
7,2015.0,191241.0,Fordham University,1.0,Main Campus,15286.0,0.0,3.0,0.0,On_campus,
8,2015.0,191241.0,Fordham University,2.0,FORDHAM UNI-LINCOLN CENTER CAMPUS,15286.0,0.0,2.0,1.0,On_campus,
9,2015.0,191241.0,Fordham University,3.0,Fordham University - Westchester Campus,15286.0,0.0,0.0,0.0,On_campus,
10,2015.0,191241.0,Fordham University,4.0,Fordham in London,15286.0,0.0,0.0,0.0,On_campus,
11,2015.0,191241.0,Fordham University,5.0,Forham in Granada,15286.0,0.0,0.0,0.0,On_campus,
12,2015.0,191241.0,Fordham University,6.0,Fordham in Pretoria,15286.0,0.0,0.0,0.0,On_campus,
13,2015.0,191241.0,Fordham University,7.0,Louis Calder Center,15286.0,0.0,0.0,0.0,On_campus,
14,2016.0,191241.0,Fordham University,1.0,Main Campus,15582.0,0.0,2.0,3.0,On_campus,
15,2016.0,191241.0,Fordham University,2.0,FORDHAM UNI-LINCOLN CENTER CAMPUS,15582.0,0.0,2.0,2.0,On_campus,
16,2016.0,191241.0,Fordham University,3.0,Fordham University - Westchester Campus,15582.0,0.0,0.0,0.0,On_campus,
17,2016.0,191241.0,Fordham University,4.0,Fordham in London,15582.0,0.0,0.0,0.0,On_campus,
18,2016.0,191241.0,Fordham University,5.0,Forham in Granada,15582.0,0.0,0.0,0.0,On_campus,
19,2016.0,191241.0,Fordham University,6.0,Fordham in Pretoria,15582.0,0.0,0.0,0.0,On_campus,
20,2016.0,191241.0,Fordham University,7.0,Louis Calder Center,15582.0,0.0,0.0,0.0,On_campus,
0,2014.0,191241.0,Fordham University,1.0,Main Campus,15231.0,0.0,0.0,1.0,On_campus_Student_Housing_Facilities,
1,2014.0,191241.0,Fordham University,2.0,FORDHAM UNI-LINCOLN CENTER CAMPUS,15231.0,0.0,0.0,0.0,On_campus_Student_Housing_Facilities,
2,2014.0,191241.0,Fordham University,4.0,Fordham in London,15231.0,0.0,0.0,0.0,On_campus_Student_Housing_Facilities,
3,2014.0,191241.0,Fordham University,7.0,Louis Calder Center,15231.0,0.0,0.0,0.0,On_campus_Student_Housing_Facilities,
4,2015.0,191241.0,Fordham University,1.0,Main Campus,15286.0,0.0,3.0,0.0,On_campus_Student_Housing_Facilities,
5,2015.0,191241.0,Fordham University,2.0,FORDHAM UNI-LINCOLN CENTER CAMPUS,15286.0,0.0,2.0,0.0,On_campus_Student_Housing_Facilities,
6,2015.0,191241.0,Fordham University,4.0,Fordham in London,15286.0,0.0,0.0,0.0,On_campus_Student_Housing_Facilities,
7,2015.0,191241.0,Fordham University,7.0,Louis Calder Center,15286.0,0.0,0.0,0.0,On_campus_Student_Housing_Facilities,
8,2016.0,191241.0,Fordham University,1.0,Main Campus,15582.0,0.0,2.0,0.0,On_campus_Student_Housing_Facilities,
9,2016.0,191241.0,Fordham University,2.0,FORDHAM UNI-LINCOLN CENTER CAMPUS,15582.0,0.0,1.0,0.0,On_campus_Student_Housing_Facilities,
10,2016.0,191241.0,Fordham University,7.0,Louis Calder Center,15582.0,0.0,0.0,0.0,On_campus_Student_Housing_Facilities,
0,2014.0,191241.0,Fordham University,1.0,Main Campus,15231.0,0.0,0.0,1.0,Public_Property,
1,2014.0,191241.0,Fordham University,2.0,FORDHAM UNI-LINCOLN CENTER CAMPUS,15231.0,0.0,0.0,0.0,Public_Property,
2,2014.0,191241.0,Fordham University,3.0,Fordham University - Westchester Campus,15231.0,0.0,0.0,0.0,Public_Property,
3,2014.0,191241.0,Fordham University,4.0,Fordham in London,15231.0,0.0,0.0,0.0,Public_Property,
4,2014.0,191241.0,Fordham University,5.0,Forham in Granada,15231.0,0.0,0.0,0.0,Public_Property,
5,2014.0,191241.0,Fordham University,6.0,Fordham in Pretoria,15231.0,0.0,0.0,0.0,Public_Property,
