Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,110662,University of California-Los Angeles,1,UCLA,41845,2,0,1
2015,110662,University of California-Los Angeles,1,UCLA,41908,1,1,1
2016,110662,University of California-Los Angeles,1,UCLA,43548,9,6,7
