Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,236948,University of Washington-Seattle Campus,1,Main Campus,44784,4,0,3
2015,236948,University of Washington-Seattle Campus,1,Main Campus,45408,5,0,2
2016,236948,University of Washington-Seattle Campus,1,Main Campus,45591,4,0,3
