Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,230764,University of Utah,1,Main Campus,31515,0,1,2
2015,230764,University of Utah,1,Main Campus,31592,3,1,0
2016,230764,University of Utah,1,Main Campus,31860,0,0,0
