Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,240444,University of Wisconsin-Madison,1,Main Campus,42598,0,2,1
2015,240444,University of Wisconsin-Madison,1,Main Campus,42716,0,1,0
2016,240444,University of Wisconsin-Madison,1,Main Campus,42582,0,2,0
