Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,228723,Texas A & M University-College Station,1,Texas A&M University,61642,1,1,2
2015,228723,Texas A & M University-College Station,1,Texas A&M University,63813,2,9,10
2016,228723,Texas A & M University-College Station,1,Texas A&M University,65632,12,6,19
