Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,211440,Carnegie Mellon University,1,Main Campus,12587,0,4,7
2015,211440,Carnegie Mellon University,1,Main Campus,12963,0,11,4
2016,211440,Carnegie Mellon University,1,Main Campus,13258,0,9,8
