Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,190415,Cornell University,1,Endowed and Contract College Campuses,21679,0,1,0
2014,190415,Cornell University,2,Cornell Tech Campus,21679,0,0,0
2015,190415,Cornell University,1,Endowed and Contract College Campuses,21904,0,0,1
2015,190415,Cornell University,2,Cornell Tech Campus,21904,0,0,0
2016,190415,Cornell University,1,Endowed and Contract College Campuses,22319,0,0,0
2016,190415,Cornell University,2,Cornell Tech Campus,22319,0,0,0
