Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,110635,University of California-Berkeley,1,Main Campus,37565,1,2,7
2015,110635,University of California-Berkeley,1,Main Campus,38189,4,3,2
2016,110635,University of California-Berkeley,1,Main Campus,40154,1,6,3
