Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,234076,University of Virginia-Main Campus,1,Main Campus,23732,0,0,0
2015,234076,University of Virginia-Main Campus,1,Main Campus,23883,1,2,0
2016,234076,University of Virginia-Main Campus,1,Main Campus,23898,1,0,0
