Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43625,8,12,16
2015,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43651,8,29,23
2016,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,44718,3,22,24
