Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,209542,Oregon State University,1,Main Campus,28886,5,1,6
2015,209542,Oregon State University,1,Main Campus,29576,4,4,19
2016,209542,Oregon State University,1,Main Campus,30354,5,2,32
