Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,228778,The University of Texas at Austin,1,The University of Texas at Austin,51313,8,17,23
2015,228778,The University of Texas at Austin,1,The University of Texas at Austin,50950,1,5,11
2016,228778,The University of Texas at Austin,1,The University of Texas at Austin,51331,9,22,31
